,Unnamed: 0,kinematicbin,t,xB,Q^2,"A_{LT,I}^{sin(φ−φ_{s} )sinφ}","A_{LT,I}^{sin(φ−φ_{s} )sin(2φ)}"
0,,,[GeV^{2} ],,[GeV^{2} ],±δ_{stat} ± δ_{syst},±δ_{stat} ± δ_{syst}
1,,overall,0.12,0.09,2.5,0.026 ± 0.084 ± 0.004,−0.016 ± 0.101 ± 0.005
2,t [GeV^2],0.00-0.06,0.03,0.08,1.9,−0.053 ± 0.127 ± 0.005,0.063 ± 0.164 ± 0.005
3,t [GeV^2],0.06-0.14,0.10,0.1,2.5,0.092 ± 0.158 ± 0.005,0.069 ± 0.187 ± 0.006
4,t [GeV^2],0.14-0.30,0.20,0.11,2.9,0.198 ± 0.193 ± 0.009,−0.200 ± 0.219 ± 0.010
5,t [GeV^2],0.30-0.70,0.42,0.12,3.5,−0.004 ± 0.310 ± 0.010,−0.144 ± 0.324 ± 0.026
6,xB,0.03-0.07,0.10,0.05,1.4,0.003 ± 0.131 ± 0.006,0.135 ± 0.176 ± 0.003
7,xB,0.07-0.10,0.10,0.08,2.1,0.113 ± 0.158 ± 0.007,−0.209 ± 0.197 ± 0.007
8,xB,0.10-0.15,0.13,0.12,3.1,0.080 ± 0.186 ± 0.007,−0.074 ± 0.210 ± 0.005
9,xB,0.15-0.35,0.20,0.2,5.0,−0.343 ± 0.288 ± 0.025,0.028 ± 0.290 ± 0.019
10,Q^2 [GeV^2],1.0-1.5,0.08,0.06,1.2,0.092 ± 0.152 ± 0.006,0.234 ± 0.215 ± 0.007
11,Q^2 [GeV^2],1.5-2.3,0.10,0.08,1.9,−0.037 ± 0.153 ± 0.006,0.022 ± 0.185 ± 0.004
12,Q^2 [GeV^2],2.3-3.5,0.13,0.11,2.8,0.236 ± 0.178 ± 0.007,−0.324 ± 0.210 ± 0.010
13,Q^2 [GeV^2],3.5-10.0,0.19,0.17,4.9,−0.316 ± 0.210 ± 0.008,0.128 ± 0.220 ± 0.010
