,Unnamed: 0,kinematicbin,t,xB,Q^2,"A_{LT,BH+DVCS}^{cos(φ−φ_{s)}}","A_{LT,BH+DVCS}^{cos(φ−φ_{s)cosφ}}","A_{LT,BH+DVCS}^{sin(φ−φ_{s)sinφ}}"
0,,,[GeV^{2} ],,[GeV^{2} ],±δ_{stat} ± δ_{syst},±δ_{stat} ± δ_{syst},±δ_{stat} ± δ_{syst}
1,,overall,0.12,0.09,2.5,−0.025 ± 0.066 ± 0.025,−0.122 ± 0.083 ± 0.009,0.090 ± 0.084 ± 0.012
2,t [GeV^2],0.00-0.06,0.03,0.08,1.9,−0.088 ± 0.098 ± 0.012,−0.079 ± 0.124 ± 0.014,0.032 ± 0.127 ± 0.019
3,t [GeV^2],0.06-0.14,0.10,0.1,2.5,0.175 ± 0.126 ± 0.023,−0.050 ± 0.159 ± 0.023,0.081 ± 0.158 ± 0.022
4,t [GeV^2],0.14-0.30,0.20,0.11,2.9,−0.160 ± 0.146 ± 0.020,−0.291 ± 0.188 ± 0.023,0.119 ± 0.189 ± 0.023
5,t [GeV^2],0.30-0.70,0.42,0.12,3.5,0.030 ± 0.256 ± 0.024,−0.138 ± 0.331 ± 0.023,0.287 ± 0.287 ± 0.023
6,xB,0.03-0.07,0.10,0.05,1.5,0.016 ± 0.108 ± 0.017,−0.161 ± 0.135 ± 0.006,0.242 ± 0.127 ± 0.010
7,xB,0.07-0.10,0.10,0.08,2.2,−0.007 ± 0.126 ± 0.022,−0.064 ± 0.160 ± 0.016,−0.032 ± 0.158 ± 0.015
8,xB,0.10-0.15,0.13,0.12,3.1,0.036 ± 0.152 ± 0.034,−0.123 ± 0.194 ± 0.026,−0.169 ± 0.183 ± 0.018
9,xB,0.15-0.35,0.20,0.2,5.0,−0.315 ± 0.224 ± 0.049,0.088 ± 0.287 ± 0.059,0.398 ± 0.283 ± 0.067
10,Q^2 [GeV^2],1.0-1.5,0.08,0.06,1.2,0.021 ± 0.120 ± 0.021,−0.112 ± 0.149 ± 0.020,0.082 ± 0.151 ± 0.018
11,Q^2 [GeV^2],1.5-2.3,0.10,0.08,1.9,−0.028 ± 0.120 ± 0.022,−0.179 ± 0.150 ± 0.016,0.049 ± 0.152 ± 0.015
12,Q^2 [GeV^2],2.3-3.5,0.13,0.11,2.8,0.033 ± 0.142 ± 0.030,−0.112 ± 0.185 ± 0.026,0.095 ± 0.177 ± 0.018
13,Q^2 [GeV^2],3.5-10.0,0.19,0.17,4.9,−0.166 ± 0.159 ± 0.038,−0.057 ± 0.205 ± 0.024,0.140 ± 0.205 ± 0.022
