phi,x,Q2,t,value,stat_u,syst_u,syst_ub,,,,,
7.5,0.345,2.218,0.176,5.2,5.1,0.0,5.4,,,,,
22.5,0.345,2.218,0.176,1.8,5.1,3.6,0.0,,,,,
37.5,0.345,2.218,0.176,8.0,4.7,1.5,0.7,,,,,
52.5,0.345,2.218,0.176,16.7,4.5,5.7,0.1,,,,,
67.5,0.345,2.218,0.176,21.1,4.1,6.0,0.0,,,,,
82.5,0.345,2.218,0.176,16.0,4.0,2.1,0.1,,,,,
97.5,0.345,2.218,0.176,10.1,3.5,1.9,0.1,,,,,
112.5,0.345,2.218,0.176,20.7,3.4,0.1,1.8,,,,,
127.5,0.345,2.218,0.176,9.3,3.2,0.9,1.9,,,,,
142.5,0.345,2.218,0.176,4.8,3.1,1.0,0.1,,,,,
157.5,0.345,2.218,0.176,-0.4,3.0,1.4,0.0,,,,,
172.5,0.345,2.218,0.176,3.3,3.0,2.9,0.2,,,,,
187.5,0.345,2.218,0.176,-0.6,2.8,0.6,1.4,,,,,
202.5,0.345,2.218,0.176,-2.6,2.9,0.9,2.0,,,,,
217.5,0.345,2.218,0.176,-7.5,3.0,1.1,0.0,,,,,
232.5,0.345,2.218,0.176,-13.1,3.2,3.3,0.0,,,,,
247.5,0.345,2.218,0.176,-6.9,3.3,1.7,0.0,,,,,
262.5,0.345,2.218,0.176,-17.5,3.6,2.1,0.0,,,,,
277.5,0.345,2.218,0.176,-13.0,3.8,1.4,0.7,,,,,
292.5,0.345,2.218,0.176,-13.2,4.2,2.9,0.6,,,,,
307.5,0.345,2.218,0.176,-16.6,4.3,0.4,2.1,,,,,
322.5,0.345,2.218,0.176,-15.2,4.6,2.8,0.0,,,,,
337.5,0.345,2.218,0.176,-3.1,4.8,0.5,0.4,,,,,
352.5,0.345,2.218,0.176,-1.2,4.9,1.1,1.5,,,,,
7.5,0.363,2.318,0.232,7.4,4.9,0.2,1.8,,,,,
22.5,0.363,2.318,0.232,15.4,4.6,0.9,1.3,,,,,
37.5,0.363,2.318,0.232,8.3,4.1,1.8,0.0,,,,,
52.5,0.363,2.318,0.232,11.5,3.6,1.5,1.5,,,,,
67.5,0.363,2.318,0.232,17.1,3.2,3.7,0.0,,,,,
82.5,0.363,2.318,0.232,6.6,2.9,1.6,0.0,,,,,
97.5,0.363,2.318,0.232,12.3,2.7,0.0,0.7,,,,,
112.5,0.363,2.318,0.232,11.6,2.4,0.1,1.3,,,,,
127.5,0.363,2.318,0.232,6.4,2.3,0.7,1.4,,,,,
142.5,0.363,2.318,0.232,5.5,2.1,0.6,0.2,,,,,
157.5,0.363,2.318,0.232,2.7,2.2,0.9,0.1,,,,,
172.5,0.363,2.318,0.232,0.0,2.0,1.5,0.0,,,,,
187.5,0.363,2.318,0.232,0.2,2.1,1.2,0.2,,,,,
202.5,0.363,2.318,0.232,-0.7,2.1,0.4,0.7,,,,,
217.5,0.363,2.318,0.232,-5.4,2.2,0.2,0.5,,,,,
232.5,0.363,2.318,0.232,-4.2,2.3,0.5,1.2,,,,,
247.5,0.363,2.318,0.232,-9.5,2.4,0.4,0.7,,,,,
262.5,0.363,2.318,0.232,-9.0,2.7,0.1,1.4,,,,,
277.5,0.363,2.318,0.232,-16.0,2.8,0.5,1.2,,,,,
292.5,0.363,2.318,0.232,-12.6,3.1,0.4,1.8,,,,,
307.5,0.363,2.318,0.232,-14.0,3.5,4.4,0.0,,,,,
322.5,0.363,2.318,0.232,-14.0,3.8,0.2,1.5,,,,,
337.5,0.363,2.318,0.232,1.4,4.4,1.1,0.8,,,,,
352.5,0.363,2.318,0.232,-1.1,4.8,4.3,0.0,,,,,
7.5,0.368,2.348,0.279,11.5,5.9,3.9,0.1,,,,,
22.5,0.368,2.348,0.279,8.6,5.3,1.6,0.4,,,,,
37.5,0.368,2.348,0.279,15.4,4.2,0.0,1.9,,,,,
52.5,0.368,2.348,0.279,10.5,3.6,1.5,0.2,,,,,
67.5,0.368,2.348,0.279,16.7,3.2,1.2,0.0,,,,,
82.5,0.368,2.348,0.279,11.9,2.8,2.4,0.4,,,,,
97.5,0.368,2.348,0.279,9.8,2.4,1.4,0.0,,,,,
112.5,0.368,2.348,0.279,8.0,2.2,0.0,0.9,,,,,
127.5,0.368,2.348,0.279,3.5,1.9,0.7,1.0,,,,,
142.5,0.368,2.348,0.279,3.7,2.0,1.6,0.0,,,,,
157.5,0.368,2.348,0.279,4.0,2.0,0.3,0.5,,,,,
172.5,0.368,2.348,0.279,-0.3,2.0,0.7,0.1,,,,,
187.5,0.368,2.348,0.279,1.0,1.9,0.0,1.2,,,,,
202.5,0.368,2.348,0.279,-1.8,1.8,0.0,0.5,,,,,
217.5,0.368,2.348,0.279,-5.1,2.0,1.3,0.0,,,,,
232.5,0.368,2.348,0.279,-4.7,2.1,0.0,0.8,,,,,
247.5,0.368,2.348,0.279,-3.8,2.1,0.9,0.0,,,,,
262.5,0.368,2.348,0.279,-10.0,2.4,0.0,3.0,,,,,
277.5,0.368,2.348,0.279,-9.8,2.6,2.1,0.0,,,,,
292.5,0.368,2.348,0.279,-11.0,2.9,1.0,0.9,,,,,
307.5,0.368,2.348,0.279,-15.8,3.5,1.7,0.5,,,,,
322.5,0.368,2.348,0.279,-9.4,3.8,2.1,0.0,,,,,
337.5,0.368,2.348,0.279,-5.0,4.7,0.8,1.7,,,,,
352.5,0.368,2.348,0.279,2.7,5.5,0.0,3.8,,,,,
7.5,0.371,2.360,0.325,1.7,7.3,2.9,0.0,,,,,
22.5,0.371,2.360,0.325,4.4,6.2,0.0,4.3,,,,,
37.5,0.371,2.360,0.325,1.9,4.4,0.0,5.3,,,,,
52.5,0.371,2.360,0.325,9.6,3.8,0.0,2.3,,,,,
67.5,0.371,2.360,0.325,15.0,3.4,0.0,1.4,,,,,
82.5,0.371,2.360,0.325,9.3,2.6,1.7,0.2,,,,,
97.5,0.371,2.360,0.325,9.9,2.4,1.3,0.0,,,,,
112.5,0.371,2.360,0.325,3.7,2.2,0.5,0.3,,,,,
127.5,0.371,2.360,0.325,6.6,2.0,0.4,0.0,,,,,
142.5,0.371,2.360,0.325,3.6,1.9,0.0,1.5,,,,,
157.5,0.371,2.360,0.325,5.5,1.8,0.8,0.2,,,,,
172.5,0.371,2.360,0.325,2.7,1.9,0.1,0.9,,,,,
187.5,0.371,2.360,0.325,-0.6,1.9,0.4,0.5,,,,,
202.5,0.371,2.360,0.325,-4.2,2.0,1.1,0.0,,,,,
217.5,0.371,2.360,0.325,-5.2,1.8,0.4,0.7,,,,,
232.5,0.371,2.360,0.325,-5.2,1.9,1.4,0.0,,,,,
247.5,0.371,2.360,0.325,0.6,2.1,0.9,0.4,,,,,
262.5,0.371,2.360,0.325,-6.8,2.4,0.4,1.7,,,,,
277.5,0.371,2.360,0.325,-14.2,2.7,0.0,1.5,,,,,
292.5,0.371,2.360,0.325,-9.6,3.1,0.0,3.6,,,,,
307.5,0.371,2.360,0.325,-10.6,3.6,0.7,0.6,,,,,
322.5,0.371,2.360,0.325,-14.2,4.5,4.4,0.0,,,,,
337.5,0.371,2.360,0.325,-0.5,5.9,0.7,2.6,,,,,
352.5,0.371,2.360,0.325,-0.5,7.3,2.9,1.5,,,,,
7.5,0.373,2.375,0.372,9.4,10.9,2.0,2.5,,,,,
22.5,0.373,2.375,0.372,6.4,8.2,4.6,1.9,,,,,
37.5,0.373,2.375,0.372,10.0,5.3,0.0,3.6,,,,,
52.5,0.373,2.375,0.372,21.8,4.3,1.6,0.4,,,,,
67.5,0.373,2.375,0.372,6.2,3.3,0.0,3.5,,,,,
82.5,0.373,2.375,0.372,9.3,2.7,1.0,0.5,,,,,
97.5,0.373,2.375,0.372,9.0,2.4,0.1,1.8,,,,,
112.5,0.373,2.375,0.372,-1.1,2.0,1.6,0.0,,,,,
127.5,0.373,2.375,0.372,1.6,1.8,0.1,0.4,,,,,
142.5,0.373,2.375,0.372,3.2,1.8,0.9,0.0,,,,,
157.5,0.373,2.375,0.372,3.6,1.9,0.7,0.0,,,,,
172.5,0.373,2.375,0.372,2.1,2.0,1.1,0.2,,,,,
187.5,0.373,2.375,0.372,4.4,2.0,0.0,1.0,,,,,
202.5,0.373,2.375,0.372,-0.1,2.0,0.0,2.5,,,,,
217.5,0.373,2.375,0.372,-3.5,1.8,0.8,0.1,,,,,
232.5,0.373,2.375,0.372,-4.0,1.9,0.2,0.7,,,,,
247.5,0.373,2.375,0.372,-1.8,2.1,0.6,1.0,,,,,
262.5,0.373,2.375,0.372,-3.4,2.3,0.0,1.1,,,,,
277.5,0.373,2.375,0.372,-5.8,2.6,0.7,0.3,,,,,
292.5,0.373,2.375,0.372,-11.3,3.1,0.0,1.8,,,,,
307.5,0.373,2.375,0.372,-8.8,3.7,0.4,0.5,,,,,
322.5,0.373,2.375,0.372,-5.2,5.1,0.4,2.6,,,,,
337.5,0.373,2.375,0.372,-8.1,8.1,3.4,4.3,,,,,
352.5,0.373,2.375,0.372,7.3,11.5,2.2,1.1,,,,,
