phi,x,Q2,t,value,stat_u,syst_u,syst_ub
7.5,0.336,2.161,0.171,120.7,4.7,0.9,0.4
22.5,0.336,2.161,0.171,132.5,4.9,3.7,0.0
37.5,0.336,2.161,0.171,118.7,4.5,2.8,0.0
52.5,0.336,2.161,0.171,99.8,4.1,1.3,1.9
67.5,0.336,2.161,0.171,88.4,3.8,0.0,5.5
82.5,0.336,2.161,0.171,81.4,3.6,0.5,0.7
97.5,0.336,2.161,0.171,62.7,3.1,1.5,0.8
112.5,0.336,2.161,0.171,61.3,3.0,0.6,1.5
127.5,0.336,2.161,0.171,58.1,3.0,0.5,1.9
142.5,0.336,2.161,0.171,52.9,2.7,2.8,0.0
157.5,0.336,2.161,0.171,43.9,2.6,0.2,0.8
172.5,0.336,2.161,0.171,45.4,2.5,0.0,1.2
187.5,0.336,2.161,0.171,41.0,2.4,0.9,0.1
202.5,0.336,2.161,0.171,44.2,2.5,0.9,0.9
217.5,0.336,2.161,0.171,51.6,2.7,0.8,0.8
232.5,0.336,2.161,0.171,57.7,2.9,0.6,0.8
247.5,0.336,2.161,0.171,56.9,2.9,0.1,2.3
262.5,0.336,2.161,0.171,69.3,3.2,0.0,3.7
277.5,0.336,2.161,0.171,77.0,3.5,0.7,0.4
292.5,0.336,2.161,0.171,95.5,3.9,2.5,0.0
307.5,0.336,2.161,0.171,103.1,4.0,4.8,0.0
322.5,0.336,2.161,0.171,114.1,4.4,0.4,1.7
337.5,0.336,2.161,0.171,117.8,4.6,2.0,0.6
352.5,0.336,2.161,0.171,120.3,4.8,0.2,0.7
7.5,0.342,2.190,0.231,100.1,7.6,2.1,2.5
22.5,0.342,2.190,0.231,106.9,6.8,4.5,0.5
37.5,0.342,2.190,0.231,93.9,6.1,0.2,1.6
52.5,0.342,2.190,0.231,76.9,5.0,0.1,2.7
67.5,0.342,2.190,0.231,67.7,4.5,2.2,1.3
82.5,0.342,2.190,0.231,55.1,3.9,3.6,0.0
97.5,0.342,2.190,0.231,53.8,3.7,1.2,0.7
